"","ratings","date","review_header","review","Topic"
"28",5,"April 9, 2017","incredibly original ","everyone should visit rice to riches at least once. they have a variety of incredible flavors of rice pudding... it's the only thing they make! i went with the fluent in french toast flavor with coconut crumbles---awesome! they will let you sample flavors before you...more",3
"29",5,"April 1, 2017","a must!","we're in nyc about twice a year and make it a point to stop at this place every single time. we love rice to riches! they have a fantastic selection, and the decor is our favorite.
check it out!",3
"30",5,"March 22, 2017","wow! mind blown!","when my friends on a kid-free trip to nyc insisted that they wanted to go to rice to riches, i was a bit skeptical. their website is terrible and does nothing to explain or sell their product, but oh my word it was worth the...more",2
"31",5,"March 9, 2017","lots of choices","30 or so fun flavors of rice pudding plus toppings and lots of clever fun signs all over the place- the food is not cheap but it is good - friendly help and free samples
this is a great example of a ny unique foolery...more",4
"32",4,"March 4, 2017","yum!","fun little place to try some ""rice pudding"" with some trendy flavoring. it's not like authentic rice pudding, it's more like flavored pudding with some rice stirred in, but it's fun. the flavors are creative and tasty. it's worth a visit!",3
"33",5,"February 20, 2017","dessert ","rice pudding with so many different flavors. oh my goodness!! what a concept. with names like butterscotch blvd and sex drugs & rocky road how can you go wrong. place was jammed on a sunday night at 8:30 pm.",1
"34",2,"February 17, 2017","incredibly unappealing","been deciding whether to publish this review for a while. came here on a casual date. big mistake. the rice pudding tasted terrible and was over priced.
service was average/ok, but terrible pudding made the experience unsalvageble. we threw out our dessert and went somewhere...more",3
"35",5,"January 30, 2017","rice pudding! ","first of all, this place is so cool! a neat environment, sarcastic signs everywhere, and great rice pudding! they have some very different flavors to choose from. the traditional flavor with cinnamon was fantastic! even the help wanted sign was hilarious! a neat experience. will...more",5
"36",2,"January 26, 2017","below average rice pudding with rude and incompetent staff ","having been advised to visit this well known rice pudding 'restaurant'- my friend and i rushed there as soon as we could seeing as we are huge rice pudding fans! we were told before that we were able to get 3-4 free tasters (can't remember...more",4
"37",5,"January 13, 2017","a real treat ","forget what you think about rice pudding - this place is amazing! tons of flavors, quirky and amusing decor and themes. i love the tiramisu and rocky road flavors. my daughter loves the chocolate chip.",1
"38",5,"January 8, 2017","delicious rice pudding. beautiful place ","had two flavors-the coconut and mascarpone with graham cracker and cherry toppings. scrumptious. so rich! wish they had more seating. don't miss this place.",4
"39",4,"January 4, 2017","love this place","i never knew rice pudding could be this delicious! definitely not your mothers rice pudding. rich and full of flavour---lots of variety",1
"40",5,"January 4, 2017","rice pudding heaven ","omg is all i can say about this place. there are so many different flavors and they all look so good. this is a must after you have lunch/dinner at lombardi's (across the street ) the decor is a little much if you don't have...more",2
"41",5,"January 4, 2017","reminds me of my childhood","it's hard to find good rice pudding. my mom used to make it for me, so i really enjoyed this place. i like the traditional flavors, although i've been here many times, i always go with the simple flavors. rarely do i get a topping....more",5
"42",5,"January 2, 2017","taste it!","even you are not fan of rice or milk, you have to try it. many tastes, unusual. i still wonder why isn't it in every corner of the world?",4
"43",5,"December 30, 2016","amazing!","my first question is...why aren't these places everywhere?? i love this place. i went here while we waited for our unremarkable pizza lunch across the street. the rice pudding experience was remarkable! i grew up in the south and rice pudding was something of a...more",3
"44",5,"December 27, 2016","bloody lovely!","great fun, quirky, stylish, and best of all the rice puds on offer are delicious! hidden away in nolita this place is definitely worth a visit for anyone even slightly partial to rice pudding, even if you're not go there and become a convert, it...more",4
"45",4,"December 27, 2016","tasty ""no-soho"" in soho","ugly design, totally inappropriate for soho.
but, very tasty rice desserts, almost unique dessert choice.
i combined choice of three taste for 10$, and it was too much for two of us, it could be enough for 4 people...
all after all, good refreshment...",1
"46",5,"December 22, 2016","i love this place! every time i fly to ny i run to get a fix of their rice pudding!","the place is decorated with funny signs and quotes on the walls that are just hysterical (check out some of the photos tons of yelpers uploaded for a kick)!
might seem pricey but don't underestimate the size of their portions, these are super filling.
try...more",2
"47",5,"December 19, 2016","love at first bite!","i wish the rice pudding i ate as a child was this good! oh my goodness! maybe it's a good thing that i don't live in nyc... i'd be eating this all the time!
always stop by after having lunch in china town, then enjoy...more",3
"48",5,"December 16, 2016","amazing. delicious. hilarious. go and read the signs!!!","first off, the signs posted on the doors, windows and around the restaurant are hilarious. you need to go to read them and then definitely get some rice pudding, even if you don't think you'd be a fan of it. you can sample any of...more",4
"49",5,"December 8, 2016","if you think you don't like rice pudding, try this place!","i didn't even like rice pudding before i ate here. i have been several times and have tried a different flavor every time, it never disappoints. i suggest splitting a bowl with someone because even their smallest size is a lot! seriously, if you are...more",4
"50",4,"November 30, 2016","rice to riches will put you in stiches","what a fun and unprecedented dessert place. they offer this insane variety of flavors and everything is amazing. the store has a cutesy vibe and i love their dry, crass humor. only problem? way too expensive. my goodness.",1
"51",5,"November 28, 2016","wow, yum yum!!","an interesting place to go but make sure you're very hungry before you go as even the smallest, 8oz solo is very filling but delicious!! we tried 'be my banana cocount' & 'curse of the orange cranberry', which was one of the nicest thing i've...more",4
"52",5,"November 26, 2016","rice to riches is a worthwhile destination in nyc","we first stumbled across rice to riches when we were directed to go to lombardi's in nyc and saw it across the street. our first experience was so amazing, we have ordered their rice pudding shipped across the country to us and, when we returned...more",2
"53",5,"November 26, 2016","can't believe it's still there!","i loved this place in 2005 and can't believe it's still there. nice treat if you have any room after lombardi's",2
"54",3,"November 24, 2016","rice pudding - beautiful store, expensive","the exterior and the name drew me in, and the interior felt a bit like a candy store meets an ice cream parlor with willy wonka at the helm. they offer samples and several of them tasted amazing. i can't say the medium or rice...more",5
"55",5,"November 16, 2016","rice pudding lovers heaven","if you like rice pudding you need to come here! there are so many flavors to choose from and the stickers and magnets on the walls are hilarious.",1
"56",1,"November 14, 2016","ripped off","beware! they will try to rip you off if they know you are a tourist! on 11-14 during the day the only cashier on duty tried to rip me off. she rung the right amount, $8.50 but only gave me $10.00. like i wouldn't notice....more",1
"57",1,"November 12, 2016","huge disappointment ","after hearing so much about this place we stopped in for desert after dinner. we tried two different flavors neither of which had much flavor. the place is littered with quotes/sayings that were supposed to be humorous although i didn't quite get the humor. won't...more",5
"58",4,"October 30, 2016","forget frozen yogurt...this is what you crave","rice to riches is going strong for 13 years at this location in little italy. imagine a frozen yogurt shop where the nasty tasteless yogurt has been replaced by delicious, fat-filled bowls of scrumptious rice pudding and know you have somewhat of what rice to...more",3
"59",3,"October 29, 2016","overpriced menu, apathetic staff","we stopped in after being bombarded with signage and stickers out front. had to try an alternative to ice cream, as it was a colder evening. while they have a plethora of flavors, this place is very overpriced. nearly $10 for a small? and only...more",5
"60",5,"October 23, 2016","does exactly what is says on the tin!","one of my favourite dessert places in new york. rice pudding in (nearly) every flavour you can think of. and they do a heap of cream as a topping, and others !! you can eat there or take away in a nice secure box (my...more",1
"61",5,"October 18, 2016","a unique experience","i've never been a rice pudding lover but this place was an exception. we tried chocolate and butter scotch puddings and loved them. the ambiance was so refreshing with lots of very funny phrases and quotations. must visit!",2
"62",4,"October 17, 2016","apparently fantastic!","right. admissions first. this review is based largely on the opinions of my two teenage sons (who will eat anything but pronounced this really fab despite initial doubts) and my wife (who is more selective in her praise, but has a long bias/ love toward...more",2
"63",4,"October 16, 2016","rice pudding lovers heaven","i loved the design of this place - it stands out from the rest. cute and kitschy with lots of fun signs and things to look at.
i love rice pudding and had never seen anything like this before. a place that only serves rice...more",1
"64",3,"October 12, 2016","worth the try","i don't know if rice pudding is a common dish in your country, but in brazil it's very popular, and we use to eat it hot. in rice to riches you have a lot of options of rice and toppings and the bowl and spoon...more",4
"65",5,"October 6, 2016","yumm! so delicious","it's sooo good! fairly priced and you get huge portions you also get to keep your bowl and spoons which we loved! lol you also get a kick out of all of the quotes and signs on the walls they are hilarious i actually ended...more",2
"66",5,"September 29, 2016","""a one stop shop for all your rice pudding needs!","love this place. we go everytime we visit nyc. so creative and such a great atmosphere, not to mention all the different varieties of rice pudding! love the classic, but usually try something new like ""rocky road or butter scotch. they offer a wonderful way...more",3
"67",5,"September 25, 2016","the best dessert in nyc","i love this place i came here 6 years ago and in the third week of september 16 and it continues to bedazzle me. i just love the rice pudding of rice to riches and the whole concept around this place.",1
"68",5,"September 23, 2016","such a great idea i can't believe there is only one!","20 regular flavours.
20 seasonal flavours.
great dessert ""frozen yoghurt"" sort of place but with rice pudding (my favourite).
staff very happy to offer a taste. environmentally friendly serving containers. take away available. clean, bright, fun and delicious! worth going out of your way if...more",1
"69",5,"September 17, 2016","excellent rice pudding and ambiance","loved this place, very different, many flavours and variety of rice pudding,
different from the regular desserts we have every where.
very impressive.",1
"70",3,"September 15, 2016","mecca for rice pudding lovers!","so many flavors of rice pudding and dozens of topping options, this place is paradise if you love rice pudding. go with a friend and share a couple different flavors. interior design is really fun with hilarious, wacky signs everywhere!",4
"71",4,"September 15, 2016","rice pudding","the place is interesting. they have many flavors to offer. my son loved their chocolate rice pudding. prices are very high. they have very limited seating space.",1
"72",3,"September 14, 2016","great concept, not so great service","i went there with a friend of mine and we casually stumbled across this place. it looked like a different ice cream place at first sight, so that's what draw us in. i must say it's way too expensive and the service is one of...more",2
"73",3,"September 9, 2016","overrated!","i heard about this alot and i definetely think it is overrated. very unfriendly atmosphere for healthy people and motivates unealthy people to stay unhealthy by the sayings written in the wall which is shocking and disturbing!",1
"74",5,"September 3, 2016","just amazing","i just had ""oreo"" gasm and play it again butter pecan and they are heavenly. before this my last visit to ""rice to riches"" happened in january 2014 and i am dreaming about this dessert since then.
this coming from a guy who doesn't care...more",3
"75",5,"September 1, 2016","sweet and delicious treat","if you love or even if you like or have never tried or been a fan of rice pudding this place will definitely change your mind and keep you coming back for more. definitely a go to when visiting nyc or in lower manhattan..",3
"76",5,"August 30, 2016","amazing!","for all rice pudding lovers or anyone feeling adventurous! i would definitely recommend this place, really nice atmosphere and deciduous rice pudding of various different flavours. it was recommended to me by some friends and it superseded my expectations.",5
"77",4,"August 30, 2016","rice pudding mecca","if you love rice pudding, you should definitely stop by this shop. it has a lot of different flavors to choose from so there is something for everyone. while you're there you can place an order to be delivered which was pretty cool.",3
"78",5,"August 27, 2016","what an amazing place!","if you like rice pudding you will want to try them all! wonderful selection of assorted rice puddings. each one is more delicious than the next -- french toast, coconut, butterscotch, etc. forget the diet when you walk in.",2
"79",5,"August 23, 2016","a taste like no other","love the variety in flavors and samples to pick the right one! parking can be a challenge so aim for after 6 pm so it's free.",5
"80",5,"August 22, 2016","delicious delicious rice pudding","who knew there could be so many flavors! always seek this place out and it never disappoints! butterscotch had an incredible depth to its flavor but i think it would be hard to go wrong with any of them!",1
"81",5,"August 22, 2016","fun!","if you like rice pudding, you'll love rice to riches. they are doing things with rice pudding that you could never imagine! lots of flavors. worth a stop if you are in the neighborhood.",3
"82",5,"August 20, 2016","best rice pudding","went here several times. try to stop here every time
i'm in the city great selection i always get the marscapone yummy. parking is tough but it's a definite go to",3
"83",5,"August 19, 2016","yummm!","another great discovery and recommendation by a friend is how i stumbled upon this place. atmosphere is nice, very neat signs on the walls. the rice pudding is great. i had the cheesecake rice pudding, and i was not a fan of rice pudding before...more",2
"84",4,"August 18, 2016","wow, not your average rice pudding","i stopped here on the suggestion of a friend and what a treat it was. they make a large variety of different flavored rice puddings that you can sample before you purchase. the store is in the little italy area, so this is a great...more",5
"85",4,"August 18, 2016","love this place","i didn't even like rice pudding before trying this place. a friend's dad (and new york native) recommended that we try it and i am so glad we did! i liked it so much i considered shipping some home, which you can totally do! it's...more",4
"86",3,"August 16, 2016","just for the signs","this place is extremely hip and cool. it's with going there just to see all the signs and read all the paraphernalia around the store.
i found the portion sizes were enormous which is an unusual thing for me to say. i'm also not used...more",2
"87",5,"August 14, 2016","fabulous","great place to pass by when you are going down town.
great display with many choice. love the pistachio one or rocky rock chocolate.",1
"88",5,"August 12, 2016","paradise for those, who binge <3","i stepped into rice to riches by accident. i am so grateful i decided to walk around soho and found my way to this place. i thought i don't like rice pudding. i was so wrong! all the flavors were perfectly designed, all the toppings...more",4
"89",3,"August 11, 2016","overall good... if you like rice pudding","i thought this place was cute and clever. not a huge rice pudding fan, so i am may be biased. we tried a few flavors... i would ask for samples first to make sure you like what you're getting.",3
"90",5,"August 8, 2016","rice pudding for days ","walking in here i was a little hesitant to try such a treat i have not been overly partial too. i did however, find myself a rice pudding convert who went back for more goodness the following night on my ny adventure.",2
"91",4,"August 7, 2016","love this place!","have been here twice. so good! several flavours and not too sweet. good portions. creative. enjoy the ambiance. wish there was more seating, place does get busy.",1
"92",5,"August 6, 2016","unexpected taste of heaven","we found this place whilst randomly wandering new york city. went in as it was a warm afternoon and we were a little peckish. it was some of the best rice pudding we've ever had - and it's top of our list to re-visit in...more",3
"93",5,"August 3, 2016","fun place to visit","amazing options in rice pudding! staff was helpful and let me sample about 6 or 7 flavors, just like the ice cream stores! decor was fun an entertaining, a great place to stop for a treat while walking around the city!",1
"94",5,"August 1, 2016","cool nice and tasty","very special. prices are good. place not that big so don't plan to sit but it's ok cause you can eat on the go. the food is very tasty!! and it's unique !",5
"95",4,"July 28, 2016","unique to new york","tasty and fun store that specializes in rice pudding! very rich food, a fun atmosphere, and funny decor. i never liked rice pudding before i came here, so this was an exciting discovery.",2
"96",5,"July 25, 2016","to die for","this is the first time that i visited and it will not be my last. lord this rice pudding is amazing!!! decor atmosphere and food is totally awesome..",1
"97",5,"July 23, 2016","got to sample a lot of flavors","so this was a new experience. over a dozen different flavors of rice pudding with fun toppings. gave me a carb coma. i had the french toast flavor, but i sampled a whole bunch of flavors, and they were all amazing. plus, it's a fun...more",5
"98",5,"July 21, 2016","as usual delish","i love rice to riches!!!!!! creamy delicious perfectly cooked rice with any flavor known to man! i got the peach mango which is my new favorite the almond and coconut all 3 wonderful. pricey but worth it for sure!",3
"99",3,"July 19, 2016","great novelty stop!","i'm not sure i'm a rice pudding aficionado so perhaps my review is a somewhat ignorant one!? we were in nolita and when else do you get to choose from so many rice pudding options- so we stopped by last week! first, it's a really...more",5
"100",4,"July 18, 2016","satisfy a sweet tooth","nice choices of rice pudding with decadent topping and cute bowls to keep
busy on wknds long lines try and go early or late",4
"101",5,"July 5, 2016","amazing!","rice to riches offer one of the best desserts in all new york. growing up in the dominican republic having ""arroz con leche"" my whole life, then going to rice to riches where i had a great variety of this dessert it was something else....more",3
"102",4,"July 3, 2016","yes, there are that many choices of rice pudding flavors, virginia","leave it to new york to come up with a totally unique and delicious concept in rice to riches. rice pudding is the star, no matter what kind of flavor you want it. seriously, who thought of putting all kinds of flavors in a go-to...more",3
"103",4,"June 28, 2016","yum!","rice pudding is one of my all-time favorite things to eat, so rice to riches was on my ""must-do"" list for a recent visit to nyc. tried a few sample spoonfuls. all were good, but for my taste nothing could compare to the traditional, so...more",3
"104",3,"June 24, 2016","meh!","this place was number one on my visit list but i wasn't impressed. i was unable to try a variety as the single portion was just that (a variety taster option would be good). also the two girls working there weren't at all friendly or...more",2
"105",4,"June 22, 2016","great rice puddings - limited seating","super-fun store, signs keep you distracted and entertained. not much seating space available, so standing might be necessary.",2
"106",4,"June 22, 2016","unique dessert","there are about 30 different rice pudding options plus toppings. we tried 3 different choices- each was delicious but very filling- if you go i recommend you just have one type unless you are starved. fun atmosphere.",5
"107",5,"June 20, 2016","excellent dessert","stopped here after eating across the street at lombardi's. we were full but after trying a couple of samples we had to give in. the rocky road rice pudding was unforgettable.",3
"108",5,"June 19, 2016","not your mother's rice pudding","wow, what can i say. i never knew rice pudding could taste like this. so many yummy flavors..and they let you taste before you buy. will go back. this place is hazardous to your waistline!",1
"109",5,"June 17, 2016","rice for riches nyc","this gem in spring street is a must when visiting nyc! to think i have never liked rice pudding before!! the vibe is wonderful and the quotes on the walls hilarious! the puddings are to die for,served in attractive plastic ware to take away. take...more",4
"110",4,"June 16, 2016","one of a kind ","rice pudding ? seriously ? yes. seriously. and it's amazing. 20 or so creative and tasty flavors in a sleek atmosphere with a sense of humor.",4
"111",4,"June 14, 2016","i didnt believe it unitl i saw it!!","when seeing this on ta i didnt think it was true until i actually saw it with my own eyes! it was such a fun and enjoyable experience because of the novelty factor and also the flavours available! so many! you can get a bowl...more",2
"112",4,"June 13, 2016","terrific idea!","i loved the atmosphere, as well as the various flavor combimations available. it is definitely a favorite place to visit!",3
"113",5,"June 9, 2016","love this place","i have not visited ny in the past 5 or 6 years without coming to rice to riches. the rice puddings are delicious. so many varieties to choose from.they give you free tastes so you can decide which you like best.",1
"114",5,"June 6, 2016","good dessert stop and a new concept!","what a cute place to stop in and get dessert! almost like stopping for ice cream or gelato but a great concept for something different. choose from a ton of rice pudding flavors all sold cold and in a cute bowl. loved the atmosphere -...more",1
"115",5,"June 2, 2016","sweet tooth? a must then","the place is always full. expect to be on a line for a bit. but, if sweet things are your thing, it a must.
simple. flavored rice. done in a great way.
service is very amicable but expect to be rushed a bit, there is...more",4
"116",5,"May 30, 2016","bonkers but brilliant!","the first thing i should say is that i'm english...and we eat our rice pudding hot. so imagine my shock when my american best friend told me she was taking me to a rice pudding bar, and that americans typically (apparently!) eat it cold.
i...more",3
"117",5,"May 28, 2016","just for fun.","however you feel about rice pudding, check this out if you're nearby. it's a fun place with creative rice pudding that folks who are ambivalent about rice pudding will love. pistachio, chocolate and lots of sarcastic signs make it a delightful stop. yum! it's expensive...more",2
"118",5,"May 24, 2016","first time trying rice pudding","i had no idea that rice pudding was so delicious until i came here! i was able to try a few samples to figure out that rice pudding is not a gross as it sounds. there were so many fantastic flavors, i had a tough...more",5
"119",5,"May 22, 2016","a little piece of heaven in soho","this is seriously the best rice pudding around. no matter how you like it, they'll have a flavor for you.
come hungry because you don't want to waste any. and don't have it to go. eat in. the signage in the store is the best...more",3
"120",4,"May 18, 2016","great rice pudding","i didn't know rice pudding could taste so good until i came here. so good! service was not the nicest especially when you ask for a sample of the different flavors.",5
"121",5,"May 17, 2016","hip and tasty","we decided to make a trip to rice to riches after seeing the place in an episode of girls. most people reacted saying it was a ridiculous idea and we had to laugh quite a bit when the place itself recognized how unusual it is...more",1
"122",5,"May 14, 2016","wow!!!...","a great sweat spot... rice pudding at its best!
decoration is really cool.
great option for dessert after having a bite on the nearby restaurants.",1
"123",4,"May 14, 2016","rice pudding lover's dream","i've pretty much learned either you love rice pudding or you don't. if you don't, keep on walking, if you do, you must try rice to riches. it is rice pudding heaven.
the shop is whimsical, with bold statements lining the walls, like ""no skinny...more",4
"124",5,"May 13, 2016","omg!!!!","who had the great idea , amazing rice pudding, they taste so good i wish i could've brought some back to california",1
"125",5,"May 12, 2016","yummm...","wow, i never tried this type of rice pudding, just so yummy. it was worth it to spend extra money for the subway to hunt down this place.",2
"126",5,"May 11, 2016","you just have to try it for yourself","every time i come to nyc i simply have to go to rice to riches and have some amazing rice pudding. fantastic variety of flavours and toppings , great design and fun little quotes everywhere :)",3
"127",3,"May 5, 2016","good for a bite or two","not a big fan of rice pudding, but rice to riches offers a wide variety of flavors and sizes to either just try or indulge.
several standing tables to eat at or very sturdy to go ""bowls"" to suit your eating needs.",4
"128",4,"April 21, 2016","sold!","i have never liked rice pudding, never! my beautiful girlfriend just recently told me she has always wanted to go to this place that serves rice pudding in some cool flavors. knowing my disdain for this dessert i was hesitant but told her one night...more",3
"129",2,"April 17, 2016","rice puding with lots of flavor","i never liked their rice pudding and i stopped by here one more time just because of my friend. which happened again their rice pudding is very sweet and creamy. seems like it is unhealthy and over power it.
i gave them 2 star just...more",4
"130",4,"April 16, 2016","worth the trip","ok, maybe my family is sentimental, but when we find a place with a good treat, we will walk forever to get it. this is not the best rice pudding in the world, but it certainly is the best experience and the most choices of...more",5
"131",5,"April 13, 2016","sweet surprise!","the concept of this dessert restaurant is rice only for sweet rice lovers. the place is unique as well the menu. before buying you can taste the various types of sweet rice and remember that the portions are enormous and one is enough for two!",5
"132",5,"April 13, 2016","this is a must!!!","rice pudding heaven!! they have every kind you can imagine! i decided to go with the marscapone and it was awesome! fyi- a small size is plenty!",4
"133",5,"April 11, 2016","wow! what fun!","went here for desert after lunch. i have always enjoyed rice pudding but have never before experienced anything like this. dozens of different flavors to choose from, it took me 10 minutes just to decide. ended up choosing rum and raisin and what a great...more",3
"134",5,"April 7, 2016","delicious and original","i love rice pudding and i'm surprised at the number of people who never tried it. lots of flavors here and you can taste test them all. the portions are huge and caloric but worth it every once in awhile. really cool (and funny) atmosphere....more",5
"135",4,"April 5, 2016","not how you remember rice pudding!","came with friends - sampled 2 different flavors both delicious but very rich- beware - plan to share! interesting concept great decor shiny clean -expect to see more locations",2
"136",4,"April 3, 2016","rice pudding at a different taste","many different flavors of rice pudding...some were over the top...but most were very good....the employees behind the counter were not very nice....overall a fun place to visit...",2
"137",4,"March 23, 2016","a new taste","finished flavoring the cronat to meet this unknown place and taste to us.we entered the place/clean and modern.yo get your chance to taste all the flavours and make your choice/don't remember ever eatin/tasting rice puding and noww i am sorry i didn't before.we took a...more",1
"138",5,"March 22, 2016","rice pudding!!!","unexpected unexplainable unique place what an amazing experince great service fresh fruit for toppings get the spoon as a souvenir.",1
"139",5,"March 16, 2016","if you love rice pudding then omg - how could rice pudding get better?","how could rice pudding get better? by offering a way to taste variations your mom never made..like a huge ice cream store but with rice pudding instead. try different amounts of ones you select. so gooooooooddddd.",5
"140",5,"March 13, 2016","unique must","oreo is my favorite. close second is rocky road. portions are very large. all the flavors i have tried are very rich. share with a friend if possible. cute saying all over. very trendy place. they also offer shipping.",3
"141",4,"March 13, 2016","eat this! non-fat free fun","great place if have a sweet tooth. even the smallest portion is quite big. it is a very rich pudding, you would enjoy the funny ambience:).
i'm not a rice pudding fan at all, but i give 5 start for the funny environment and thoughtful...more",2
"142",4,"March 7, 2016","a creamy sweet miracle!","the place it's very cool, decoration it's amazing and the music from all around the world gives it a very unique yet versatile ambiance. they have a lot of different flavors of rice pudding, all very good, yet i still prefer my grandma's recipe!",5
"143",4,"March 7, 2016","good as always","i came back after almost 10 year and still good as the first time. didn't have the pistachio flavor but the caramel and chocolate chip were super yummy",1
"144",4,"March 2, 2016","got to check out the rice pudding mecca!","they only have rice pudding, but what a selection. you have to check out the sayings all over the walls too.",4
"145",2,"March 1, 2016","extortionate!","i had rice to riches on my list of places to visit in ny and popped in today while in the area. i very quickly left. i love rice pudding and the flavours all looked very nice but, at the end of the day, it's...more",1
"146",4,"February 22, 2016","yummy!","rice pudding is my favourite desert and i was excited to visit here when coming to ny. it was great to be able to try any flavours before buying. it was clean and the interior was amusing, a really fun place to check out. only...more",2
"147",5,"February 13, 2016","a very rice place to go","if you love rice pudding, come here. if you hate rice pudding, come here. seriously, it's that good.
my husband said he didn't like it, but ate more than half of mine. they have a ton of flavors, french toast was my favorite.",3
